Bandeja,codigo ,ubicación ,proveedor externo
BANDEJA DE PLACA CERVICAL C,267508/1422,,PROMOCION MEDICA
BANDEJA DE PLACAS CERVICALES HELIX ,264867/1251,,PROMOCION MEDICA
 	DRILL MICRODEBRIDADOR SHAVER OTORRINO CIRUGIA TRANSFENOIDAL (PM),290189,,PROMOCION MEDICA
BANDEJA CAPSTONE,267162,,HMC
BANDEJA DE INSTRUMENTOS STRATOS-STRACOS,289888,,GAMTA
 	BANDEJA DE MICROCIRUGIA AVANZADA DE BASE DE CRANEO,294797,,A.M.
 	BANDEJA DE RETRACTOR CERVICAL,266846,,IS
 	BANDEJA DE RETRACTORES Y PINZAS BIPOLARES,291499,,EP
 	BANDEJA DE SEPARADORES Y LAMINAS # 3006-7,264778,,EQUIMEDIC
 	BANDEJA DE SEPARADORES DE ALIF REF. MAALQSEPALIF,297988,,"SURGICAL TECHNOLOGY, S.A."
,,,EDM
